ID,title,reviewer_name,country,watershed,water_body_type,water_body_size,site_size,latitude,longitude,year,seasonality,seasons,study_type,connectivity,lateral,longitudinal,hyporheic,spatial,temporal_def,temporal,connectivity_process,connectivity_quantitative,connectivity_metric,connectivity_def,connectivity_type,connectivity_measure,seasonal_code,repeats_code,regulated (yes/no/unsure),predictors,responses,primary_productivity_metric,chlorophyll,chlorophyll_method,chlorophyll_response,p-value,food_web,mean,sd,n,data_published,data_figure,data_analysis_method,notes,meta_analysis,include_exclude,include_exclude_reason
chl_32,hydrological connectivity and basin morphometry influence seasonal water-chemistry variations in tundra ponds of the northwestern hudson bay lowlands,ES,usa,hudson bay lowlands,tundra pond,"475,000 km2",varies,N 58°45',W 93°50',2010,Y,summer,observational,Y,Y,Y,Y,Y,more than one season,Y,ice melt,Y,"oblique aerial photos, water isotope tracers, water-level loggers",seasonal water chemistry trajectory ,3,c,no,no,no,"water chemistry (major ions, nutrients, chl-a, suspendend sediments, pH)",seasonal water chemistry trajectory ,chl-a,?g L–1,lab,NA,N,N,N,N,Y,2014,y,PCA,permafrost,Y,include,all 3 criteria met
chl_40,influence of a drought event on hydrological characteristics of a small estuary on the amazon mangrove coast,ES,Brazil,Taperaçu Estuary,estuary,not defined,not defined,S 1°00',W 46°36',2012-2013,Y,all ,observational,Y,Y,Y,Y,Y,more than one season,Y,"precipitation, tides",Y,"precip, tides","temporal and spatial gradiants of water quality, nuts, and chl-a",1,b,no,yes,no,"spatial: sector, temporal: season, month, tide phase ","water quality, nutrients, chl-a",chl-a,mg/m^3,lab,Y,N,Y,Y,Y,N,2018,Y,"ANOVA, Mann-Whitney, Kruskal-Wallis tests",hyperheic zone briefly mentioned in discussion - having to do with freshwater stored in mangrove sediments that are released one ebb tide,Y,include,all 3 criteria met
chl_50,periphyton response to simulated nonpoint source pollution: local over regional control,ES,usa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,d,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA,NA,"artificial substrates: in situ bio assay systems (tiles); no discussion about connectivity, experiments conducted in individual habitats",N,exclude,connectivity metric
chl_58,short-term succession of aquatic plant species richness along ecosystem productivity and dispersal gradients in shallow lakes,ES,france,dombes region,lakes,varaiable; >1 ha - 100 ha,,N 45.75939° ,E 4.82898°,2008 or 2009,Y,"spring, summer",observational,Y,N,Y,N,Y,N,N,disturbance (human-induced drainage),Y,position in lake network,diaspore input,1,c,no,no,yes,"succession stage, productivity,  and connectivity",aquatic plant species richness,chl-a,?g L–1,lab,Y,Y,N,Y,Y,Y,2013,Y,GLM ANCOVA,deviance of ANCOVA reported,Y,include,all 3 criteria met
chl_66,temporal coherence between lake and landscape primary productivity,ES,usa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,g,no,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,analysis of 135 lake time teries across 17 states and 20 years; connectivity not mentioned much and perhaps connectivity type '0' is more appropriate (I infered connectivity '2' but it was never stated); study made up of several lakes across several years,N,exclude,connectivity metric
chl_77,"trophic state and water quality in the danube floodplain lake (kopacki rit nature park, croatia) in relation to hydrological connectivity",ES,croatia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,b,yes,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA,NA,"article in a book, article has original research but is lab based, other data brought in through lit review but data not collected across same spatial and temporal scale",N,exclude,criteria metric - original research is laboratory based
pro_27,flood disturbance affects macroinvertebrate food chain length in an alluvial river floodplain,ES,switzerland,Maggia River,floodplain,930 km2,7-km long and nearly 2-km wide,,,2014 - 2016,Y,"winter, summer, fall","observational, modeled",Y,N,N,N,N,more than one season,Y,river stage- floodplain disturbance ,Y,"time since last flood, flooding frequency",floodplain disturbance,0,g,yes,no,yes,"time since last flood, flooding frequency, habitat size, biofilm standing crop, POM",food chain length,POM,N,NA,NA,Y,invertebrates,N,N,N,2020,Y,"GLMM, isotope mixing models, isotope niche indices",data available upon request; modeled flood frequency and time elapsed since last flood,Y,include,all 3 criteria met
pro_71,tracking the resource pulse: movement responses of fish to dynamic floodplain habitat in a tropical river,ES,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,a,yes,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,cool study - focus is on fish movement on flood plain; not sure its relevant withough chl-a,Y,exclude,connectivity metric
pro_68,"the impact of surface water exchange on the nutrient and particle dynamics in side-arms along the river danube, austria",ES,Austria,danube,river,"104,000 km2",not defined,N 48°12',E 16°22',"1991, 1995, 1996, 1999, 2001",N,"spring, summer, fall",observational,Y,Y,Y,Y,Y,"more than one year, continuous measurements",Y,flow pattern and stage,Y,"average annual duration (day per year) of upstream surface connection of the different floodplain water bodies with the main channel, and water age",duration of integration,"1, 2",e,no,yes,yes,"average annual duration (day per year) of upstream surface connection of the different floodplain water bodies with the main channel, and water age","conductance, geochemistry, nutrients, particle concentration, chl-a",chl-a,?g L–1,lab,Y,Y,N,Y,Y,Y,2004,Y,water age calculation,,Y,include,all 3 criteria met
pro_66,the danube restoration project: functional aspects and planktonic productivity in the floodplain system,ES,Austria,danube,floodplain,"104,000 km2",10 km2,not included,not included,"1991, 1995, 1996, 1999, 2001 ",N,"spring, fall",observational,Y,Y,Y,N,N,more than one season,Y,river stage,Y,river stage,retention time in side channel,1,e,no,yes,yes,"PAR, water retention time","nutrients, primatry production","chl-a, bacteria, primary production (incubations) and field extrapolated",?g L–1,lab,Y,N,Y,Y,Y,N,1999,Y,"theoretical water retention time calculation, primary production model, regression analyses and curve estimations for significant relationships",hyperheic mentioned but not measured,Y,include,all 3 criteria met
