Title,Abstract,StoreId,AccessionNumber,AlternateTitle,ArticleType,AuthorAffiliation,Authors,coden,conferenceInformation,copyright,correspondenceAuthor,dateCompleted,dateCreated,dateRevised,digitalObjectIdentifier,documentType,elecISSN,elecPubDate,entryDate,grantData,informationProvider,isbn,issn,issue,language,languageOfSummary,medlineDocStatus,originalTitle,pages,placeOfPublication,pubdate,pubtitle,publicationType,year,publisher,sourceAttrib,volume,DocumentURL,britishNursingIndexEdition,casRegistryNumber,classification,classificationCodes,documentFeatures,majorClassificationCodes,notes,startPage,subjectClassifications,subjectHeadings,subjectTerms,subjects,substances,URL,FindACopy,Database
The performance of ecological cage aquaculture of pejerrey Odontesthes bonariensis in Pampean lakes under two different hydrological scenarios,"Ecological aquaculture promotes the development of sustainable farming systems, focusing on a wide range of ecosystem elements. The ecological aquaculture of the zooplanktivorous pejerrey ( Odontesthes bonariensis ) in floating cages in Pampean shallow lakes (Argentina) needs to be carried out considering the hydrological and chemical variations as modulators of plankton community and consequently of the pejerrey yield. To assess its performance in lakes with contrasting hydrological regimes, an experiment was carried out in two water bodies: La Salada de Monasterio Lake (Mon), an endorheic environment, and San Lorenzo Lake (Lor), connected to several lakes and the Salado River. During the experiment, regional rainfall generated high hydrological variability in Lor Lake changing its status of unconnected lake to a run?of?the?river lake. High standard deviation in Chlorophyll?a values in Lor indicated the significant effects of hydrological instability on the plankton community. Microcrustaceans abundance and biomass were higher in Mon, and almost disappeared in Lor when it turns into run?of?the?river. The final fish growth and survival were significantly higher in Mon, endorsing the importance of zooplankton of high nutritional quality and hydrological, physical–chemical and biological stability. The results indicate that productive and stable environments with a sustained offer of natural food are better for the zooplanktivorous fish production. Connectivity with other water bodies and hydrological dependence on rainfall regimes have defining effects on phytoplankton, zooplankton and fish production, thus emerging as key factors to be considered for achieving better results in the ecological aquaculture implementation.",2572363494,,,Scholarly Journals," Instituto de Limnología “Dr. Raúl Ringuelet” (ILPLA, CONICET CCT La Plata – UNLP), Buenos Aires, Argentina , Instituto de Limnología “Dr. Raúl Ringuelet” (ILPLA, CONICET CCT La Plata – UNLP), Buenos Aires, Argentina , Molecular Ecology Group, National Research Council of Italy, Water Research Institute (CNR?IRSA), Verbania, Italy , Instituto de Limnología “Dr. Raúl Ringuelet” (ILPLA, CONICET CCT La Plata – UNLP), Buenos Aires, Argentina , Cátedra de Medicina, Producción y Tecnología, Fauna Acuática y Terrestre, FCV, UBA, Buenos Aires, Argentina , Instituto de Limnología “Dr. Raúl Ringuelet” (ILPLA, CONICET CCT La Plata – UNLP), Buenos Aires, Argentina , Instituto de Limnología “Dr. Raúl Ringuelet” (ILPLA, CONICET CCT La Plata – UNLP), Buenos Aires, Argentina","Javier R Garcia de Souza;Moreno, Vivian Yorojo;Sathicq, María B;Gómez, Nora;Sampietro, Susana;Donadelli, Jorge;Colautti, Darío C",,, Copyright © 2021 John Wiley & Sons Ltd,,,,, 10.1111/are.15316, Journal Article,, 2021-05-15, Oct 2021,,,,1355-557X,10, English, English,,, 4829-4840, Oxford,Oct 2021,Aquaculture Research,,2021,,,52,https://www.proquest.com/scholarly-journals/performance-ecological-cage-aquaculture-pejerrey/docview/2572363494/se-2?accountid=14505,,,,,,," 2021-04-15 (Revised) , 2020-09-07 (Received) , 2021-04-27 (Accepted)", 4829,,," Aquaculture , Lakes , Zooplankton , Fish , Modulators , Lakes , Phytoplankton , Rainfall , Chlorophylls , Biological effects , Aquaculture , Rivers , Hydrology , Rivers , Rainfall , Phytoplankton , Fish production , Fish , Ecological effects , Chlorophyll , Chlorophyll , Hydrologic regime , Phytoplankton , Zooplankton , Rainfall , Zooplankton , Lakes , Plankton , Stability , Phytoplankton , Zooplankton , Chlorophyll , Floating cages , Cages , Sustainable development , Aquaculture , Aquaculture , Aquaculture , Sustainable development , Survival , Sustainable agriculture , Natural & organic foods , Inland waters , Lakes , Natural & organic foods , Rainfall , Lakes , Hydrology , Odontesthes bonariensis"," connectivity , fish production , floating cages , hydrological influence , natural food availability",,,https://search.library.ucdavis.edu/openurl/01UCD_INST/01UCD_INST:UCD?genre=article&amp;atitle=The+performance+of+ecological+cage+aquaculture+of+pejerrey+Odontesthes+bonariensis+in+Pampean+lakes+under+two+different+hydrological+scenarios&amp;author=Javier+R+Garcia+de+Souza%3BMoreno%2C+Vivian+Yorojo%3BSathicq%2C+Mar%C3%ADa+B%3BG%C3%B3mez%2C+Nora%3BSampietro%2C+Susana%3BDonadelli%2C+Jorge%3BColautti%2C+Dar%C3%ADo+C&amp;volume=52&amp;issue=10&amp;spage=4829&amp;date=2021&amp;rft.btitle=&amp;rft.jtitle=Aquaculture+Research&amp;issn=1355-557X&amp;isbn=&amp;sid=ProQ%3Aasfaaquaculture_,Natural Science Collection
"Water level as the key controlling regulator associated with nutrient and gross primary productivity changes in a large floodplain-lake system (Lake Poyang), China","A floodplain lake system can be described as a water conveyance-type lake system that is subject to high water-level fluctuations (WLFs). This study investigated the effects of WLF on the nutrient status and the gross primary productivity (GPP) of phytoplankton in Lake Poyang, a large floodplain-lake system in China. This study hypothesized that WLF is the key controlling regulator of the lake’s nutrient status, phytoplankton growth and GPP, driven by its influence on the lake’s hydrological connectivity in combination with water-flow velocity as well as other environmental parameters. The results showed that the intra-annual water levels in this lake varied from 7.61 m to 20.82 m while inter-annual water levels significantly decreased throughout 1989–2018 (P &lt; 0.05). Except for pH, most environmental variables and nutrients differed significantly each season. Mean GPP and chlorophyll a (Chl a) concentration during the water rising period was clearly higher compared to the dry season, wet season and falling period. Moreover, nutrient concentration was the main determining factor of phytoplankton growth and GPP during different periods, while water temperature (WT) also played a key role in influencing phytoplankton biomass and GPP during the water rising period. There was also a direct correlation between WLF and GPP during the water rising period, and WLF significantly affected nutrient concentration, subsequently impacting GPP. This study can benefit our overall knowledge of hydrological and ecological dynamics in floodplain-lake systems, while providing an important reference for policymakers in the management of dams and water quality in floodplain-lake systems globally.",2574374455, IND607363166,,Scholarly Journals," Key Laboratory of Ecosystem Network Observation and Modeling, Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing 100101, PR China , Key Laboratory of Ecosystem Network Observation and Modeling, Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing 100101, PR China , Key Laboratory of Ecosystem Network Observation and Modeling, Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing 100101, PR China , Key Laboratory of Ecosystem Network Observation and Modeling, Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing 100101, PR China , Key Laboratory of Ecosystem Network Observation and Modeling, Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing 100101, PR China , Key Laboratory of Ecosystem Network Observation and Modeling, Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing 100101, PR China , Key Laboratory of Ecosystem Network Observation and Modeling, Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing 100101, PR China , Key Laboratory of Ecosystem Network Observation and Modeling, Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing 100101, PR China , Key Laboratory of Ecosystem Network Observation and Modeling, Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing 100101, PR China , Key Laboratory of Ecosystem Network Observation and Modeling, Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing 100101, PR China , Key Laboratory of Ecosystem Network Observation and Modeling, Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing 100101, PR China","Wang, Shuoyue;Gao, Yang;Jia, Junjie;Kun, Sun;Lyu, Sidan;Li, Zhaoxi;Lu, Yao;Wen, Xuefa",,,," Wang, Shuoyue , Key Laboratory of Ecosystem Network Observation and Modeling, Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing 100101, PR China , Key Laboratory of Ecosystem Network Observation and Modeling, Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing 100101, PR China",,,, 10.1016/j.jhydrol.2021.126414, Journal Article,,, Aug 2021,,,,0022-1694,, English, English,,,,,Aug 2021,Journal of hydrology, CSAPTjournals,2021, Elsevier B.V.," National Agricultural Library, © Elsevier B.V.",599,https://www.proquest.com/scholarly-journals/water-level-as-key-controlling-regulator/docview/2574374455/se-2?accountid=14505," Journal of hydrology, 2021 Aug., v. 599, Elsevier B.V., 0022-1694",,,,,," Journal of hydrology. 2021 Aug., v. 599 Elsevier B.V. , NAL-AP-2-clean , Available from publisher's site",,,," biomass , chlorophyll , dry season , floodplains , gross primary productivity , lakes , nutrient content , pH , phytoplankton , water flow , water quality , water temperature , wet season , China , China"," article , Water level , Primary productivity , Floodplain , Lake Poyang , article",,,https://search.library.ucdavis.edu/openurl/01UCD_INST/01UCD_INST:UCD?genre=article&amp;atitle=Water+level+as+the+key+controlling+regulator+associated+with+nutrient+and+gross+primary+productivity+changes+in+a+large+floodplain-lake+system+%28Lake+Poyang%29%2C+China&amp;author=Wang%2C+Shuoyue%3BGao%2C+Yang%3BJia%2C+Junjie%3BKun%2C+Sun%3BLyu%2C+Sidan%3BLi%2C+Zhaoxi%3BLu%2C+Yao%3BWen%2C+Xuefa&amp;volume=599&amp;issue=&amp;spage=&amp;date=2021&amp;rft.btitle=&amp;rft.jtitle=Journal+of+hydrology&amp;issn=0022-1694&amp;isbn=&amp;sid=ProQ%3Aagricolamodule_IND607363166,Natural Science Collection
Assessing the effects of lateral hydrological connectivity alteration on freshwater ecosystems: A meta-analysis,"The alteration of lateral hydrological connectivity (LHC) is among the major causes of decline in biodiversity and ecosystem functioning and services in river-floodplain ecosystems. Yet, the effects of LHC alteration on aquatic ecosystems have not been rigorously tested and synthesized. Here, we conducted a literature review and meta-analysis to provide a global synthesis of the effects of LHC alteration on aquatic ecosystems, and to test the effectiveness of indicators for bioassessment. In our review we found that the effects of LHC alteration were disproportionally documented in terms of geographic distribution and research subject. Most studies were conducted in Europe and America on the biodiversity and abundance of macroinvertebrates and fish. In our meta-analysis, we compared effect sizes between pairs of three LHC levels, i.e. disconnected, moderately connected, and highly connected. We found that only a limited number of water quality indicators (e.g. chlorophyll a, total phosphorus, conductivity, and dissolved oxygen) and biological community indicators (e.g. fish species richness, and zooplankton abundance) showed significant differences between LHC levels. The responses of these indicators to LHC alteration differed, and sometimes in opposing directions. We found out responsive indicators and their response trends, which could not only facilitate effective biomonitoring and bioassessment with regard to engineering and restoration of LHC, but also provide scientific underpinnings of the understanding of trade-offs among the indicators. We identified knowledge gaps and provided recommendations on how to fill these gaps, which included investigating rarely documented regions, developing new indicators, and quantifying mechanistic links between LHC and ecosystem functioning and services.",2524279576, IND607324695,,Scholarly Journals," Institute of Hydrobiology, Chinese Academy of Sciences, Wuhan 430072, China , Institute of Hydrobiology, Chinese Academy of Sciences, Wuhan 430072, China , Institute of Hydrobiology, Chinese Academy of Sciences, Wuhan 430072, China , Institute of Hydrobiology, Chinese Academy of Sciences, Wuhan 430072, China , Institute of Hydrobiology, Chinese Academy of Sciences, Wuhan 430072, China","Shen, Minghua;Liu, Xueqin",,,," Shen, Minghua , Institute of Hydrobiology, Chinese Academy of Sciences, Wuhan 430072, China , Institute of Hydrobiology, Chinese Academy of Sciences, Wuhan 430072, China",,,, 10.1016/j.ecolind.2021.107572, Journal Article,,, Jun 2021,,,,1470-160X,, English, English,,,,,Jun 2021,Ecological indicators, CSAPTjournals,2021, Elsevier Ltd," National Agricultural Library, © Elsevier Ltd",125,https://www.proquest.com/scholarly-journals/assessing-effects-lateral-hydrological/docview/2524279576/se-2?accountid=14505," Ecological indicators, 2021 June, v. 125, Elsevier Ltd, 1470-160X",,,,,," Ecological indicators. 2021 June, v. 125 Elsevier Ltd , Available from publisher's site",,,," biological assessment , chlorophyll , dissolved oxygen , environmental monitoring , fish , freshwater , geographical distribution , macroinvertebrates , meta-analysis , species richness , total phosphorus , water quality , zooplankton , Europe , Europe"," article , Aquatic biota , Bioassessment , Indicator , Ecological restoration , Effect size , Water quality , article",,,https://search.library.ucdavis.edu/openurl/01UCD_INST/01UCD_INST:UCD?genre=article&amp;atitle=Assessing+the+effects+of+lateral+hydrological+connectivity+alteration+on+freshwater+ecosystems%3A+A+meta-analysis&amp;author=Shen%2C+Minghua%3BLiu%2C+Xueqin&amp;volume=125&amp;issue=&amp;spage=&amp;date=2021&amp;rft.btitle=&amp;rft.jtitle=Ecological+indicators&amp;issn=1470-160X&amp;isbn=&amp;sid=ProQ%3Aagricolamodule_IND607324695,Natural Science Collection
Temporal Coherence Between Lake and Landscape Primary Productivity,"Understanding the patterns and drivers of primary productivity is a major goal of ecology, but little is known about whether the primary productivities of different types of ecosystems—here, lakes and the landscapes in which they are embedded—fluctuate in related ways through time. Due to shared climatic variation and well-known connections between lake and terrestrial ecosystems, such as nutrient and resource subsidies, we hypothesized that interannual fluctuations in aquatic and terrestrial primary productivity indices could be coherent. We also expected that lake and watershed characteristics could modify the strength and nature of primary productivity relationships. We applied wavelet coherence analyses to time series of lake chlorophyll-a and satellite-derived NDVI to examine coherence between lakes and land, and used random forest regression and generalized additive models to evaluate why coherence varies among lakes. There can be substantial coherence between lake and terrestrial primary productivity, but the strength and phase (direction and time lag) of this relationship vary widely, and there were marked differences between short (2–4-year periods of oscillation) and long (&gt;?4-year periods of oscillation) timescales. Across all timescales, variables associated with the connectedness of lakes to their watersheds were consistently the important explanatory variables of the strength and phase of coherence. The patterns observed in this study suggest the importance of cross-ecosystem flows, as opposed to shared climatic variation, in determining temporal coherence between lakes and the landscape.",2517102093,,,Scholarly Journals," University of Virginia, Department of Environmental Sciences, Charlottesville, USA (GRID:grid.27755.32) (ISNI:0000 0000 9136 933X) , Iowa State University, Department of Ecology, Evolution, and Organismal Biology, Ames, USA (GRID:grid.34421.30) (ISNI:0000 0004 1936 7312) , University of Kansas, Kansas Applied Remote Sensing Program, Kansas Biological Survey, Lawrence, USA (GRID:grid.266515.3) (ISNI:0000 0001 2106 0692) , University of Virginia, Department of Environmental Sciences, Charlottesville, USA (GRID:grid.27755.32) (ISNI:0000 0000 9136 933X) , Iowa State University, Department of Ecology, Evolution, and Organismal Biology, Ames, USA (GRID:grid.34421.30) (ISNI:0000 0004 1936 7312)","Walter, Jonathan A;Fleck, Rachel;Kastens, Jude H;Pace, Michael L;Wilkinson, Grace M",,," © Springer Science+Business Media, LLC, part of Springer Nature 2020. ",,,,, 10.1007/s10021-020-00531-6, Journal Article,, 2020-07-24, Apr 2021,,,,1432-9840,3, English, English,,, 502-515, New York,Apr 2021,Ecosystems,,2021,,,24,https://www.proquest.com/scholarly-journals/temporal-coherence-between-lake-landscape-primary/docview/2517102093/se-2?accountid=14505,,,,,,," 2020-07-15 (Registration) , 2020-04-16 (Received) , 2020-07-08 (Accepted)", 502,,," Watersheds , Lakes , Aquatic ecosystems , Time lag , Landscape , Lakes , Regression analysis , Productivity , Chlorophyll , Watersheds , Landscape , Terrestrial ecosystems , Terrestrial ecosystems , Landscape , Terrestrial environments , Lakes , Chlorophyll , Chlorophyll , Wavelet analysis , Coherence , Lakes , Watersheds"," Synchrony , Compensation , Chlorophyll-a , NDVI , Resource subsidies , Hydrologic connectivity",,,https://search.library.ucdavis.edu/openurl/01UCD_INST/01UCD_INST:UCD?genre=article&amp;atitle=Temporal+Coherence+Between+Lake+and+Landscape+Primary+Productivity&amp;author=Walter%2C+Jonathan+A%3BFleck%2C+Rachel%3BKastens%2C+Jude+H%3BPace%2C+Michael+L%3BWilkinson%2C+Grace+M&amp;volume=24&amp;issue=3&amp;spage=502&amp;date=2021&amp;rft.btitle=&amp;rft.jtitle=Ecosystems&amp;issn=1432-9840&amp;isbn=&amp;sid=ProQ%3Aecology_,Natural Science Collection
"Complex hydroperiod induced carryover responses for survival, growth, and endurance of a pond-breeding amphibian.","Assessing carryover effects from the aquatic to the terrestrial stage of pond-breeding amphibians is critical as temperature and hydrologic regimes of temporary ponds continue to be altered as a result of climate change and other stressors. We evaluated carryover effects of hydroperiod length (50-62 days) on amphibian survival, developmental rates, and locomotor performance using a model organism, the wood frog (Rana sylvatica), through aquatic and terrestrial mesocosm experiments with individual tests of locomotor performance. We found that shorter hydroperiods (50 days) had low larval survival (0.44?±?0.03) compared to the 62-day hydroperiod (0.91?±?0.09) and increased developmental rates, resulting in smaller sizes at metamorphosis. We did not find evidence of carryover effects on terrestrial survival three months post-metamorphosis with all hydroperiod treatments showing high terrestrial survival (0.88?±?0.07). However, post-metamorphic frogs from the longer hydroperiod treatments grew faster and larger compared to individuals from shortest hydroperiods and performed significantly better during endurance trials at 18 °C. Disentangling complex carryover effects across multiple life stages in species with high phenotypic plasticity can shed light on the physiological capacity of species to respond to changing environments and inform mechanistic predictions of persistence in the face of anthropogenic stressors.",2494302612, 33635404,,Scholarly Journals,,"Thompson, Cassandra M;Popescu, Viorel D",,,," Thompson, Cassandra M", 2021-04-20, 2021-02-26, 2021-04-20, 10.1007/s00442-021-04881-3, Journal Article, 1432-1939, 2021-02-26, April 2021, Grant No. 11086-18.03-1116139, National Library of Medicine,,,4, English, English, MEDLINE,, 1071-1081,,April 2021,Oecologia, CSAPTjournals,2021, Germany,,195,https://www.proquest.com/scholarly-journals/complex-hydroperiod-induced-carryover-responses/docview/2494302612/se-2?accountid=14505," Oecologia, April 2021, 195(4):1071-1081",,,,,," Cited By:<br/>
Alton LA, Franklin CE (2017) Drivers of amphibian declines: effects of ultraviolet radiation and interactions with other environmental factors. Clim Chang Responses 4:6. https://doi.org/10.1186/s40665-017-0034-7<br/>
Baldwin RF, Calhoun AJK, DeMaynadier PG (2006a) The significance of hydroperiod and stand maturity for pool-breeding amphibians in forested landscapes. Can J Zool 84:1604–1615. https://doi.org/10.1139/Z06-146<br/>
Baldwin RF, Calhoun AJK, Maynadier PG (2006b) The significance of hydroperiod and stand maturity for pool-breeding amphibians in forested landscapes. Can J Zool 84:1604–1615. https://doi.org/10.1139/Z06-146<br/>
Beck CW, Condgon JD (1999) Effects of individual variation in age and size at metamorphosis on growth and survivorship of southern toad (Bufo terrestris) metamorphs. Can J Zool 77:944. https://doi.org/10.1139/z99-041<br/>
Beck CW, Congdon JD (2000) Effects of age and size at metamorphosis on performance and metabolic rates of Southern Toad, Bufo terrestris, metamorphs. Funct Ecol 14:32–38. https://doi.org/10.1046/j.1365-2435.2000.00386.x<br/>
Berven KA (1988) Factors affecting variation in reproductive traits within a population of wood frogs (Rana sylvatica). Copeia. https://doi.org/10.2307/1445378<br/>
Berven KA, Berven KA (1990) Factors affecting population fluctuations in larval and adult stages of the wood frog (Rana sylvatica). Ecology 71:1599–1608. https://doi.org/10.2307/1938295<br/>
Berven KA, Grudzien TA (1990) Dispersal in the wood frog (Rana sylvatica): implications for genetic population-structure. Evolution (NY) 44:2047–2056<br/>
Boes MW, Benard MF (2013) Carry-over effects in nature: effects of canopy cover and individual pond on size, shape, and locomotor performance of metamorphosing wood frogs. Copeia 2013:717–722. https://doi.org/10.1643/CE-12-091<br/>
Boone MD (2005) Juvenile frogs compensate for small metamorph size with terrestrial growth: overcoming the effects of larval density and insecticide exposure. J Herpetol 39:416–423. https://doi.org/10.1670/187-04A.1<br/>
Brady LD, Grif RA (2000) Developmental responses to pond desiccation in tadpoles of the British anuran amphibians (Bufo bufo, B. calamita and Rana temporaria). J Zool 25:61–69<br/>
Catenazzi A (2015) State of the World’s amphibians. In: Stuart SN, Hoffmann M, Chanson JS et al (eds) Ssrn. IUCN Conservation International and NatureServe, Barcelona, pp 33–44<br/>
Chelgren ND, Rosenberg DK, Heppell SS, Gitelman AI (2006) Carryover aquatic effects on survival of metamorphic frogs during pond emigration. Ecol Appl 16:250–261. https://doi.org/10.1890/04-0329 [16705977]<br/>
Cline BB, Hunter ML (2014) Different open-canopy vegetation types affect matrix permeability for a dispersing forest amphibian. J Appl Ecol 51:319–329. https://doi.org/10.1111/1365-2664.12197<br/>
Cooper EB, Kruuk LEB (2018) Ageing with a silver-spoon: a meta-analysis of the effect of developmental environment on senescence. Evol Lett 2:460–471. https://doi.org/10.1002/evl3.79 [30283695]<br/>
Davenport JM, Hossack BR, Fishback L (2016) Additive impacts of experimental climate change increase risk to an ectotherm at the Arctic’s edge. Glob Chang Biol 23:1–10. https://doi.org/10.1111/gcb.13543<br/>
Davis SJ, Caldeira K, Matthews HD (2010) Future CO2 emissions and climate change from existing energy infrastructure. Science 329(5997):1330–1333<br/>
Dunn OJ (1964) Multiple comparisons using rank sums. Technometrics 6:241–252. https://doi.org/10.1080/00401706.1964.10490181<br/>
Earl JE, Semlitsch RD (2013) Carryover effects in amphibians: are characteristics of the larval habitat needed to predict juvenile survival? Ecol Appl 23:1429–1442. https://doi.org/10.1890/12-1235.1 [24147414]<br/>
Earl JE, Whiteman HH (2015) Are commonly used fitness predictors accurate? A meta-analysis of amphibian size and age at metamorphosis. Copeia 103:297–309. https://doi.org/10.1643/CH-14-128<br/>
Fitzpatrick MJ, Porter WP, Pauli JN et al (2020) Future winters present a complex energetic landscape of decreased costs and reduced risk for a freeze-tolerant amphibian, the Wood Frog (Lithobates sylvaticus). Glob Chang Biol 26:6350–6362. https://doi.org/10.1111/gcb.15321 [32871618]<br/>
Gervasi SS, Foufopoulos J (2008) Costs of plasticity: responses to desiccation decrease post-metamorphic immune function in a pond-breeding amphibian. Funct Ecol. https://doi.org/10.1111/j.1365-2435.2007.01340.x<br/>
Goater CP (1994) Growth and survival of postmetamorphic toads: interactions among larval history, density, and parasitism. Ecology 75:2264–2274. https://doi.org/10.2307/1940882<br/>
Gosner KL (1960) A simplified table for staging anuran embryos and larvae with notes on identification. Herpetologica 16:183–190. https://doi.org/10.2307/3890061<br/>
Harper EB, Semlitsch RD (2007) Density dependence in the terrestrial life history stage of two anurans. Oecologia. https://doi.org/10.1007/s00442-007-0796-x [17622562]<br/>
Hector KL, Bishop PJ, Nakagawa S (2012) Consequences of compensatory growth in an amphibian. J Zool 286:93–101. https://doi.org/10.1111/j.1469-7998.2011.00850.x<br/>
Hof C, Araujo MB, Jetz W, Rahbek C (2011) Additive threats from pathogens, climate and land-use change for global amphibian diversity. Nature 480:516-U137. https://doi.org/10.1038/nature10650 [22089134]<br/>
Holm-Hansen O, Riemann B (1978) Chlorophyll a determination: improvements in methodology. Oikos 30:438. https://doi.org/10.2307/3543338<br/>
Laake J (2017) R code for Mark analysis. 1–211<br/>
Lambert MR, Smylie MS, Roman AJ et al (2018) Sexual and somatic development of wood frog tadpoles along a thermal gradient. J Exp Zool Part A Ecol Integr Physiol 329:72–79. https://doi.org/10.1002/jez.2172<br/>
Le Roux PC, McGeoch MA (2008) Rapid range expansion and community reorganization in response to warming. Glob Chang Biol 14:2950–2962. https://doi.org/10.1111/j.1365-2486.2008.01687.x<br/>
Lebreton AJ, Burnham KP, Clobert J, David R (2013) Modeling survival and testing biological hypotheses using marked animals: a unified approach with case studies. Ecol Soc Am 62:67–118. https://doi.org/10.2307/2937171<br/>
Lenth RV (2017) Using lsmeans. J Stat Softw 69:1–33<br/>
Moore FBG, Gatten RE (1989) Locomotor performance of hydrated, dehydrated, and osmotically stressed anuran amphibians. Hereptologica 45:101–110<br/>
O’Regan SM, Palen WJ, Anderson SC (2014) Climate warming mediates negative impacts of rapid pond drying for three amphibian species. Ecology 95:845–855. https://doi.org/10.1890/13-0916.1 [24933805]<br/>
Orizaola G, Dahl E, Laurila A (2014) Compensatory growth strategies are affected by the strength of environmental time constraints in anuran larvae. Oecologia 174:131–137. https://doi.org/10.1007/s00442-013-2754-0 [23996230]<br/>
Patrick DA, Hunter ML, Calhoun AJK (2006) Effects of experimental forestry treatments on a Maine amphibian community. For Ecol Manag 234:323–332. https://doi.org/10.1016/j.foreco.2006.07.015<br/>
Patrick DA, Harper EB, Hunter ML, Calhoun AJK (2008) Terrestrial habitat selection and strong density-dependent mortality in recently metamorphosed amphibians. Ecology 89:2563–2574<br/>
Pechenik JA (2006) Larval experience and latent effects—metamorphosis is not a new beginning. Integr Comp Biol 46:323–333. https://doi.org/10.1093/icb/icj028 [21672745]<br/>
Pinheiro J, Bates D, DebRoy S, Sarkar D, Heisterkamp S, Van Willigen B, Maintainer R (2017) Package ‘nlme’. Linear and nonlinear mixed effects models, version 3:1<br/>
Popescu VD, Hunter ML (2011) Clear-cutting affects habitat connectivity for a forest amphibian by decreasing permeability to juvenile movements. Ecol Appl 21:1283–1295. https://doi.org/10.1890/10-0658.1 [21774430]<br/>
Popescu VD, Brodie BS, Hunter ML, Zydlewski JD (2012) Use of olfactory cues by newly metamorphosed wood frogs (Lithobates sylvaticus) during emigration. Copeia 2012:424–431. https://doi.org/10.1643/CE-11-062<br/>
R Core Team (2017) R: a language and environment for statistical computing<br/>
Raffel TR, Romansic JM, Halstead NT et al (2013) Disease and thermal acclimation in a more variable and unpredictable climate. Nat Clim Chang 3:146–151. https://doi.org/10.1038/nclimate1659<br/>
Riha VF, Berven KA (1991) An analysis of latitudinal variation in the larval development of the wood frog (Rana sylvatica). Copeia 1991:209–221<br/>
Ruthsatz K, Peck MA, Dausmann KH et al (2018) Patterns of temperature induced developmental plasticity in anuran larvae. J Therm Biol 74:123–132. https://doi.org/10.1016/J.JTHERBIO.2018.03.005 [29801617]<br/>
Searcy CA, Gilbert B, Krkošek M et al (2018) Positive correlation between dispersal and body size in green frogs (Rana clamitans) naturally colonizing an experimental landscape. Can J Zool 96:1378–1384. https://doi.org/10.1139/cjz-2018-0069<br/>
Semlitsch RD, Bodie JR (2003) Biological criteria for buffer zones around wetlands and riparian habitats for amphibians and reptiles. Conserv Biol 17:1219–1228<br/>
Semlitsch RD, Scott DE, Pechmann HK (1988) Time and size at metamorphosis related to adult fitness in Ambystoma talpoideum. Ecology 69:184–192. https://doi.org/10.2307/1943173<br/>
Semlitsch RD, Todd BD, Blomquist SM et al (2009) Effects of timber harvest on amphibian populations: understanding mechanisms from forest experiments. Bioscience 59:853–862. https://doi.org/10.1525/bio.2009.59.10.7<br/>
Sheth SN, Angert AL (2018) Demographic compensation does not rescue populations at a trailing range edge. Proc Natl Acad Sci USA 115:2413–2418. https://doi.org/10.1073/pnas.1715899115 [29463711]<br/>
Sinervo B, Méndez-de-la-Cruz F, Miles DB et al (2010) Erosion of lizard diversity by climate change and altered thermal niches. Science (80-) 328:894–899. https://doi.org/10.1126/science.1184695<br/>
Tracy CR, Betts G, Richard Tracy C, Christian KA (2007) Plaster models to measure operative temperature and evaporative water loss of amphibians. J Herpetol 41:597–603. https://doi.org/10.1670/07-006.1<br/>
Werner EE, Relyea RA, Yurewicz KL et al (2009) Comparative landscape dynamics of two anuran species: climate-driven interaction of local and regional processes. Ecol Monogr 79:503–521. https://doi.org/10.1890/08-1047.1<br/>
White GC, Burnham KP (1999) Program MARK: survival estimation from populations of marked animals. Bird Study 46:S120–S139. https://doi.org/10.1080/00063659909477239<br/>
Wilbur HM (1980) Complex life cycles. Annu Rev Ecol Syst 11:67–93. https://doi.org/10.1146/annurev.es.11.110180.000435 , Internet", 1071,," Animals , Anura , Larva , Ranidae", Index Medicus," Hydroperiod , Locomotor performance , Mesocosm , Rana sylvatica , Survival",,,https://search.library.ucdavis.edu/openurl/01UCD_INST/01UCD_INST:UCD?genre=article&amp;atitle=Complex+hydroperiod+induced+carryover+responses+for+survival%2C+growth%2C+and+endurance+of+a+pond-breeding+amphibian.&amp;author=Thompson%2C+Cassandra+M%3BPopescu%2C+Viorel+D&amp;volume=195&amp;issue=4&amp;spage=1071&amp;date=2021&amp;rft.btitle=&amp;rft.jtitle=Oecologia&amp;issn=&amp;isbn=&amp;sid=ProQ%3Atoxline_33635404,Natural Science Collection
