"","ID","pub_year"
"1","chl_10",2008
"2","chl_11",2017
"3","chl_13",2021
"4","chl_16",2019
"5","chl_17",2016
"6","chl_18",2014
"7","chl_19",2018
"8","chl_20",2004
"9","chl_21",2014
"10","chl_22",2009
"11","chl_23",2003
"12","chl_27",2010
"13","chl_3",2015
"14","chl_31",2004
"15","chl_32",2014
"16","chl_33",1995
"17","chl_34",2014
"18","chl_35",1999
"19","chl_36",2015
"20","chl_37",2006
"21","chl_38",2004
"22","chl_4",2012
"23","chl_40",2018
"24","chl_41",2016
"25","chl_42",2019
"26","chl_43",2019
"27","chl_44",2003
"28","chl_48",2014
"29","chl_49",2020
"30","chl_5",2021
"31","chl_50",2011
"32","chl_51",2017
"33","chl_53",2009
"34","chl_54",2002
"35","chl_55",2021
"36","chl_56",2010
"37","chl_57",2018
"38","chl_58",2013
"39","chl_6",2012
"40","chl_60",2011
"41","chl_61",2011
"42","chl_62",2008
"43","chl_63",2013
"44","chl_65",2020
"45","chl_66",2021
"46","chl_68",2015
"47","chl_69",2008
"48","chl_71",2021
"49","chl_73",2008
"50","chl_75",2015
"51","chl_77",2011
"52","chl_78",2014
"53","chl_79",2021
"54","chl_8",2020
"55","chl_9",2016
"56","pro_11",2009
"57","pro_15",2020
"58","pro_17",2020
"59","pro_18",2017
"60","pro_20",2015
"61","pro_21",2018
"62","pro_22",2020
"63","pro_24",2007
"64","pro_27",2020
"65","pro_31",2010
"66","pro_33",2009
"67","pro_34",2017
"68","pro_35",2009
"69","pro_38",2009
"70","pro_4",2015
"71","pro_40",2010
"72","pro_42",2013
"73","pro_43",2002
"74","pro_44",2017
"75","pro_48",2021
"76","pro_49",2010
"77","pro_5",2018
"78","pro_52",2017
"79","pro_54",2007
"80","pro_55",2014
"81","pro_56",2010
"82","pro_57",2017
"83","pro_62",2015
"84","pro_66",1999
"85","pro_67",2008
"86","pro_68",2004
"87","pro_69",2009
"88","pro_7",2011
"89","pro_71",2020
"90","pro_74",2020
"91","pro_75",2019
"92","pro_76",2019
"93","r2_01",2022
"94","r2_02",2022
"95","r2_03",2022
"96","r2_05",2022
"97","r2_07",2021
"98","r3_01",2014
"99","r3_02",2016
"100","r3_05",2003
"101","r3_08",2019
"102","r3_10",2016
"103","r3_13",2021
"104","r3_14",2010
"105","r3_15",2016
"106","r3_16",2006
"107","r3_17",2013
"108","r3_18",2017
"109","r3_19",2007
"110","r3_22",2008
"111","r3_23",1997
"112","r3_24",2022
"113","r3_25",2022
"114","chl_25",2007
"115","chl_70",2018
"116","pro_51",2016
"117","chl_74",2018
"118","r3_21",2019
