"","ID","connectivity_type","connectivity_measure","seasonal_code","repeats_code"
"1","chl_16","2","d","y","n"
"3","chl_56","1","a","y","n"
"5","chl_6","2","e","y","n"
"8","pro_56","1, 2","c","y","n"
"10","chl_48","2","a","n","y"
"11","pro_38","1","d","n","n"
"12","chl_37","2","e","y","n"
"13","chl_19","2","c","n","n"
"20","chl_20","1, 2","d, e","n","y"
"22","chl_31","2","e","n","n"
"23","chl_38","1, 2","c","y","y"
"24","chl_49","1","a","n","n"
"25","chl_57","1","d","n","y"
"26","chl_65","1, 2","d, e","y","n"
"27","chl_75","1, 2","c","y","y"
"28","chl_9","2","d","y","n"
"30","pro_35","1, 2","c","n","y"
"31","pro_52","3","a","n","n"
"32","pro_54","0","g","y","n"
"33","pro_55","0","h","n","y"
"34","pro_57","1","b","y","n"
"37","chl_23","2","d,a","n","n"
"38","chl_34","2","d","n","n"
"39","chl_42","0","g","y","n"
"40","chl_53","2","e","y","n"
"41","chl_61","1, 2","d","y","n"
"42","chl_69","2","e","y","n"
"43","chl_79","2","e","y","y"
"44","pro_11","2","d","y","y"
"45","pro_17","1, 3","a","n","n"
"46","pro_22","2","e,d","y","y"
"48","pro_51","1, 2","g","n","n"
"49","pro_76","1, 2","d","n","n"
"50","chl_4","2","c","y","y"
"51","chl_25","2, 3","c, d","y","y"
"52","chl_36","2","c","y","n"
"53","chl_55","2","d","y","n"
"54","chl_63","2","c, d","y","n"
"56","pro_67","2","c, e","y","y"
"57","pro_43","1, 2, 3","a, c","y","y"
"58","pro_40","1","a","y","n"
"59","pro_31","2","c","y","y"
"60","pro_34","1, 2","c, e","y","n"
"62","chl_18","2","c, d","y","y"
"64","chl_73","2","b, c","y","n"
"65","chl_32","3","c","n","n"
"66","chl_40","1","b","n","y"
"67","chl_50","2","d","y","y"
"68","chl_58","1","c","n","n"
"69","chl_66","2","g","n","n"
"70","chl_77","1","b","y","n"
"71","pro_27","0","g","y","n"
"72","pro_71","2","a","y","n"
"73","pro_68","1, 2","e","n","y"
"74","pro_66","1","e","n","y"
"75","pro_62","1","a","n","n"
"76","pro_49","1, 2","a","n","n"
"77","chl_11","0","h","n","n"
"78","chl_21","2","d","n","n"
"79","chl_47","1, 2","b, i","y","n"
"80","chl_17","2","b, d","y","y"
"82","chl_3","2","c, d","y","n"
"83","chl_35","2","c, d","y","n"
"84","chl_43","2","c","n","y"
"85","chl_54","2","c, d","y","n"
"86","chl_62","1, 2, 3","d, c, a","n","y"
"88","chl_71","2","d","n","n"
"89","pro_18","2","d, e","y","n"
"90","pro_20","2","d, c","y","y"
"91","pro_24","1, 3","d","n","y"
"92","pro_33","0","d","n","y"
"93","pro_36","2","b, c, e","y","y"
"94","pro_7","2","c","y","y"
"97","chl_13","0","g","y","y"
"98","chl_22","2","b, c","y","y"
"99","chl_33","1, 2","d, e","n","n"
"100","chl_41","1, 2","b, c, d","y","n"
"101","chl_51","1","b, c, e","y","n"
"102","chl_60","1, 2","a","n","n"
"103","chl_68","2","c, d, e","y","n"
"104","chl_70","0","g","n","n"
"105","chl_78","2","g","n","n"
"106","pro_15","3","c, f","n","n"
"107","pro_21","2","c, d","y","n"
"108","pro_44","2","b","y","y"
"109","pro_5","1","a","n","n"
"110","pro_69","1","a, b, f","y","y"
"111","pro_75","1, 2","g","n","n"
